answerKey,question,choices
A,Why is someone likely to use an iron when cleaning clothes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wrinkles', 'sanitation', 'attractive appearance', 'looks good',
       'ruined'], dtype=object)}"
A,Which door with lock holds valuables?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['safe', 'vault', 'garage', 'house', 'automobile'], dtype=object)}"
D,What would you put in a teakettle?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['england', 'tea', 'cupboard', 'water', 'japanese tea room'],
      dtype=object)}"
E,What does someone do when there are dishes astray in the kitchen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain weight', 'wait patiently', 'stand erect', 'promise to do',
       'washing dishes'], dtype=object)}"
B,Where is knowledge of all kinds likely to be found?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['encyclopedia', 'book', 'head', 'class', 'newspaper'], dtype=object)}"
E,"The dream was so terrible, what did the dreamer do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reality', 'nightmare', 'park', 'dreamworker', 'awake'],
      dtype=object)}"
E,"The library wanted to get the community more involved, so they began to screen family what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['monitor', 'homes', 'drive in movie', 'theatre', 'movies'],
      dtype=object)}"
A,Where would you carry food while on a long walk in the countryside?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backpack', 'table', 'jar', 'box', 'container'], dtype=object)}"
C,"She was there for for just one location and one pair of jeans, but she spent hours looking at everything and anything in the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clothing store', 'shopping plaza', 'shopping mall', 'laundromat',
       'thrift store'], dtype=object)}"
D,James drove down the thoroughfare though his home what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['house', 'country', 'city', 'town', 'traffic'], dtype=object)}"
D,Where do you keep perishable food for a longer time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'trash can', 'store', 'freezer', 'home'], dtype=object)}"
A,If someone rents a room where would the passageway to it be located?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hotel', 'cave', 'jungle', 'maze', 'freeway'], dtype=object)}"
A,Where would you keep a canoe?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boat house', 'mountain stream', 'water', 'garage', 'campground'],
      dtype=object)}"
E,How might you feel when meeting a friend who company you greatly enjoy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['talk', 'relaxation', 'excitement', 'fun', 'joy'], dtype=object)}"
B,During one the many famous helicopter tours you can get a bald eagle perceptive of what natural landmark?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forrest', 'grand canyon', 'colorado', 'mountains', 'u.s'],
      dtype=object)}"
D,Where should shoes not be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walking', 'closet', 'suitcase', 'table', 'bed'], dtype=object)}"
A,"He found it odd that while attending lecture the professor got preachy, and even weirder when his fellow students started to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['applaud', 'laughed', 'learning', 'taking notes', 'fall asleep'],
      dtype=object)}"
D,"The lawyer explained what committing perjury was, this was big case with high what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arrest', 'shame', 'risk', 'tension', 'penalty'], dtype=object)}"
A,Why would you be doing housework?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cleanliness', 'allergies', 'joy', 'exhaustion', 'boredom'],
      dtype=object)}"
E,Where is a catwalk unlikely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['theater', 'airplane', 'theatre', 'new york city', 'fieldhouse'],
      dtype=object)}"
C,Where is known for powerful storms from the ocean?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rain', 'weather report', 'tropics', 'summer', 'america'],
      dtype=object)}"
C,Where is sugar stored when it's not needed?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coffee', 'bank locker', 'cupboard', 'every home', 'candy bar'],
      dtype=object)}"
B,Where on the planet would you expect a bald eagle to live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['colorado', 'outside', 'protection', 'zoo exhibit', 'world'],
      dtype=object)}"
D,Where would you display a picture on a vertical surface?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shelf', 'desktop', 'editer', 'wall', 'art show'], dtype=object)}"
C,If you fell in front of people while going public store how might you feel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['problems', 'sorrow', 'embarrassment', 'happy', 'panic'],
      dtype=object)}"
C,In hat city do the most U.S. politicians work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['parliament', 'government', 'washington d.c', 'departaments',
       'run for president'], dtype=object)}"
B,"What could happen to you if someone threatens to charge you with obstructing justice, even if he or she does not do it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get arrested', 'fear', 'getting arrested', 'going to jail',
       'fined'], dtype=object)}"
C,"The automobile was left outside when the man got home from work, where was i left?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['exit ramp', 'repair shop', 'driveway', 'front yard', 'garage'],
      dtype=object)}"
A,Where might a student store a pencil when traveling,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backpack', 'desktop', 'classroom', 'desk drawer', 'pocket'],
      dtype=object)}"
E,What kind of call are you on if you're hearing several people over speakers?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desktop', 'headphones', 'connect', 'concert', 'conference'],
      dtype=object)}"
E,What does a person do before going on vacation?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest in bed', 'lie in bed', 'buy food', 'cross street',
       'water plants'], dtype=object)}"
C,Where do you find leather horseback riding equipment?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car seats', 'department stores', 'stable', 'merry go round',
       'handbag'], dtype=object)}"
D,Why do people want to keep working?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['frustration', 'make money', 'boredom', 'being paid', 'blisters'],
      dtype=object)}"
A,If I wanted to pay a bill from my house where would I put a letter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mail box', 'envelope', 'document folder', 'post office', 'desk'],
      dtype=object)}"
B,"On a rainy day, Bill likes to do creative things.  He loves to taste things.  He tries his hand on a rainy day. What might he do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enjoy film', 'make bread', 'go to the gym', 'stay in bed',
       'write'], dtype=object)}"
C,She had not been back to work since a bad incident what is she likely to feel upon return?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stress', 'lonely', 'anxiety', 'depression', 'conversation'],
      dtype=object)}"
D,"After I urinate and flush the toilet and wash my hands, what should I do next?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['flush toilet', 'dry hands', 'zip pants', 'eat', 'wash hands'],
      dtype=object)}"
C,"The person deposited a check, what was she looking to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go to bank', 'smell smoke', 'bank savings', 'promise to do',
       'look angry'], dtype=object)}"
E,"The cafe had seating outside, but you could also sit inside the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['paris', 'large city', 'jail', 'london', 'building'], dtype=object)}"
B,What is a kind of literature?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['newspaper', 'books and magazines', 'own home', 'public library',
       'good homes'], dtype=object)}"
C,"The place felt wrong, but higher up had said this was the right what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['job', 'map', 'location', 'line', 'almost anywhere'], dtype=object)}"
A,"The had a reputation for celebrating in a  debaucherous manner, what often happened as a result?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drunkenness', 'enjoyment', 'have fun', 'hang over', 'fighting'],
      dtype=object)}"
B,"After loading up his plate with all the food, what did he look for to wash it all down?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'cup', 'fork', 'food', 'bowl'], dtype=object)}"
D,Who would you go to if you wanted a picture of a thermometer?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabinet', ""doctor's office"", 'hospital', 'drawer', 'camera'],
      dtype=object)}"
E,James was hit on the head and suffered a concussion.  He found himself losing consciousness at annoying times.  He also suffered from something else.  What was it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coma', 'falling down', 'pain', 'death', 'forgetfulness'],
      dtype=object)}"
A,Where will you find billions of grains of sand?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beach', 'eye', 'clam', 'dessert', 'bathing suit'], dtype=object)}"
E,When a computer stops working it's called a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['do work', 'help people', 'compute', 'networked', 'crash'],
      dtype=object)}"
C,"If I need to store old stuff out of the way without concerns of them getting damp, where do I go?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['waste bin', 'cellar', 'attic', 'fridge', 'museum'], dtype=object)}"
D,"With all the leaves falling each year, a natural compost keeps the soil healthy for all the trees where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garden', 'useful for recycling', 'surface of earth', 'forest',
       'orchard'], dtype=object)}"
A,Where might a child keep their towel for overnight?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backpack', 'linen closet', 'swimming pool', 'at hotel', 'shelf'],
      dtype=object)}"
B,"When people are interested in protecting fetuses from abortion, what is a common slogan they campaign with?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play outside', 'choose life', 'pepsi is gross', 'write programs',
       'believe in god'], dtype=object)}"
B,During offiical judging what must be avoided?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['controversy', 'prejudice', 'verdict', 'statement', 'evaluating'],
      dtype=object)}"
B,"The woman was yelling obscenities in public, and while it was entertaining for people passing by, what did her husband feel?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happiness', 'embarrassment', 'fatigue', 'fulfillment',
       'enjoyment'], dtype=object)}"
D,"These days, what is the one place you are guaranteed to find a telephone?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['television', 'party', ""friend's house"", 'office', 'desktop'],
      dtype=object)}"
B,A student should not do what while their instructor is lecturing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play piano', 'talk', 'talk on their phone', 'study engineering',
       'read book'], dtype=object)}"
C,Why might people go to a party?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['to be alone', 'believe in god', 'enjoy themselves',
       'face each other', 'group together'], dtype=object)}"
A,Where can plants always be grown?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['greenhouse', 'garden', 'park', 'house', 'surface of earth'],
      dtype=object)}"
E,"James wanted to build a new concert hall, but his land wasn't zoned for what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['theater', 'orchestras', 'city', 'university building',
       'commercial building'], dtype=object)}"
D,If you are going to watch your favorite team play a sport what is the most likely thing someone will tell you when you let them know?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['win game', 'good luck!', 'entertain yourself', 'have fun',
       'enjoy yourself'], dtype=object)}"
B,"If you wanted to move cargo at a low price and time wasn't an issue, what vehicle would you use?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['train', 'boat', 'airplane', ""ship's hold"", 'train'], dtype=object)}"
A,What does hitting the side of a horse cause?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['movement', 'fear', 'stiffness', 'running', 'bouncing'],
      dtype=object)}"
B,"The jury determined he was guilty of the crime, and decided that the judge must do what for the victim?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['conduct trial', 'serve justice', 'pass sentence',
       'bring in verdict', 'go to war'], dtype=object)}"
D,"James tried to arise from the lunch table, where he had done what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fall down', 'sitting down', 'go ahead', 'sit down', 'lie down'],
      dtype=object)}"
A,What do you need to write a letter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have paper', 'literate', 'not give up', 'move fingers',
       'to keep warm'], dtype=object)}"
D,Where is someone likely to find a huge amount of text?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['newspaper', ""writer's brain"", 'own home', 'library', 'book store'],
      dtype=object)}"
A,What movie would a human watch if they were really nerdy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['star trek', 'restroom', 'cornfield', 'wired', 'school'],
      dtype=object)}"
D,"The paper sign had notice of a civic meeting, where should it be posted?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hallway', 'store window', 'pole', 'public place', 'shop window'],
      dtype=object)}"
A,"The crab was when it saw something in the kitchen, what did it see?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boiling water', 'pacific ocean', 'cold water', 'a huge knife',
       'fish market'], dtype=object)}"
E,If you take a call while away from work where are you likely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['attracting ducks', 'at work', 'voice mail', 'answering machine',
       'office'], dtype=object)}"
A,What kind of feeling can sex lead to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bliss', 'aids', 'getting pregnant', 'orgasm', 'educations'],
      dtype=object)}"
D,Where are you if you've received bbq after paying?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ribs', 'backyard', 'texas', 'restaurant', 'louisiana'],
      dtype=object)}"
C,There are many natural landmarks that need to be protected at what locations?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'city', 'national park', 'special place', 'forest'],
      dtype=object)}"
D,"She said it was her turn to watch television, it was time for her to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['entertained', 'plug in', ""you're bored"", 'see favorite show',
       'sit'], dtype=object)}"
C,Lying can cause what when trying to find accurate information?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['distrust', 'hurt feelings', 'confusion', 'good things',
       'unhappiness'], dtype=object)}"
B,What will happen after you have rest?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['muscles tired', 'feel better', 'exhausted', 'were very tired',
       'turn blue'], dtype=object)}"
C,Most people would think killing people is what kind of act?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['going to jail', 'joy', 'terrible', 'mistake', 'murder'],
      dtype=object)}"
B,"Violence is present in many human endeavors, including sports.  But Danny doesn't play sports.  He does violence only during what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['warfare', 'war', 'drive to drinkin', 'hockey game',
       'being done against'], dtype=object)}"
B,Walking to much with poorly fitting shoes can cause what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['weight gain', 'blisters', 'exercise', 'locomotion', 'lose weight'],
      dtype=object)}"
B,Washing clothes over and over many times what do they do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['transmutate', 'wear out', 'torn', 'get wet', 'wet clothes'],
      dtype=object)}"
E,What is a performance by actors on tv to promote buying a certain product?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['newspaper', 'show', 'theatre', 'movie', 'commercial'],
      dtype=object)}"
E,Where would one catch a connection flight?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wires', 'freeway', 'electrical circuit', 'wall', 'airport'],
      dtype=object)}"
B,What do humans have for speaking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['one hand', 'one mouth', 'two ears', 'brains', 'two legs'],
      dtype=object)}"
B,If you want to go on vacation what do you need to afford the trip?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sell your house', 'save money', 'pack', 'have money', 'vacate'],
      dtype=object)}"
A,"If a person has one of every kind of a thing, what do they have?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['complete collection', 'have to hold', 'hobby', 'procrastinate',
       'acknowledgment'], dtype=object)}"
E,"The jaw skeleton of the shark was on display for the children to walk through, it was one of the many attractions where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tomales bay', 'football ground', 'business', 'pool hall',
       'marine museum'], dtype=object)}"
E,"He wanted to but couldn't concentrate on playing game with friends, he wished he could just be doing what with it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gaming', 'anger', 'stress', 'injury', 'enjoying'], dtype=object)}"
B,"Bill sits down on a whoopee cushion, what sound does he make when he sits?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fall asleep', 'flatulence', 'sigh of relief', 'medium', 'comfort'],
      dtype=object)}"
A,"The convenience was unparalleled, but the traveler was just waiting for the landing at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['airport', 'restaurant', 'change planes', 'apartment building',
       'stairwell'], dtype=object)}"
B,"A man wanted to find the United States on a visual, where should he look?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['history book', 'atlas', 'tv channels', 'northern hemisphere',
       'map'], dtype=object)}"
C,Where might families decide on dinner together?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'funeral', 'supermarket', 'wedding', 'hotel'], dtype=object)}"
D,"The person was scared of violent burgulars, what did he do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get a hanky.', 'cross street', 'feel sleepy', 'arm himself',
       'receive mail'], dtype=object)}"
D,If you dont want to get bit by a dog you can do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['alive', 'be a cat', 'black', 'playing dead', 'fun'], dtype=object)}"
B,What is good way to break boredom for kids?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play chess', 'play games', 'play basket', 'play cards',
       'watch film'], dtype=object)}"
A,Where are you not likely to find an apple tree?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new york', 'washington state', 'valley', 'rainforest', 'park'],
      dtype=object)}"
A,"The graveyard was zoned by the pastor, where was it located?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['church property', 'every town', 'church grounds', 'cattle yard.',
       'arlington'], dtype=object)}"
D,"He was staying at a resort near Nevada and California, he left on his boat from the dock in the north and at the opposite end spotted a bald eagle, where was he?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['central idaho', 'hells canyon', 'canada', 'south lake tahoe',
       'park'], dtype=object)}"
D,Jamie is returning to work today.  He was forced to leave work because some bad things had happened and his serotonin levels were low and he was suffering from something that made him lethargic? What was he suffering from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sobering', 'conversation', 'anxiety', 'depression', 'anger'],
      dtype=object)}"
B,"He had a very expensive writing instrument in his office and didn't want to lose it, where did he put it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""writer's hand"", 'desk drawer', 'pawn shop', 'pocket', 'classroom'],
      dtype=object)}"
C,Modesty is an important virtue.   An insufficient amount of it in the face of individuals of greater station may be interpreted as what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['extravagance', 'lack', 'impudence', 'boldness', 'immodesty'],
      dtype=object)}"
D,Where can you buy sports equipment tools and a lawn mower at the mall?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['school', 'sporting event', 'sporting goods store', 'sears',
       'museum'], dtype=object)}"
B,"When going to the market, you will be happy when you?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buy things', 'arriving at desination', 'impulse buying',
       'carrying bags', 'push a cart'], dtype=object)}"
B,Why did his eyes close and he begin to snore while listening to music that was quiet?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['relaxation', 'fall asleep', 'deafness', 'resting', 'calm'],
      dtype=object)}"
D,"The token was being wished upon desperately, where was it bound for?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coin collection', 'loans', 'ashtray', 'slot machine', 'pocket'],
      dtype=object)}"
C,"Curiosity got him out of his small hometown, he simply wanted to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['analyse', 'die', 'go somewhere', 'see favorite show', 'read book'],
      dtype=object)}"
B,Why do people want to have fun?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have sex', 'enjoy yourself', 'waste time', 'laughter',
       'spontaneous'], dtype=object)}"
D,"After taking my final exams I got my grades back and had  a 4.0 gpa, how did I feel?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['graduation', 'headaches', 'fail again', 'success', 'failure'],
      dtype=object)}"
B,What item has parts such as rods and pistons?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting goods store', 'engine', 'cool', 'eyeball',
       'fishing camp'], dtype=object)}"
A,What is not always found in a large volume?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['collection of books', 'set of books', 'library',
       'set of encylopedia', 'costco'], dtype=object)}"
C,Dan's mother always told him that bathing was necessary because it led to what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dry skin', 'nudity', 'cleanliness', 'use soap',
       'having a strong scent'], dtype=object)}"
D,The cow was a star.  Everyone knew it from the what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wisconsin', 'fairy tale', 'nebraska', 'advertisement',
       'countryside'], dtype=object)}"
D,Sally waited in the rain with another person.  Both of them were waiting to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make wine', 'cross street', 'wear jeans', 'take bus', 'take taxi'],
      dtype=object)}"
C,Where can I store this clean fork if I am not presently using it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['in a box', 'plane', 'kitchen drawer', 'table', 'plate'],
      dtype=object)}"
A,Where might customers go to walk around?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mall', 'park', 'market', 'found in restaurant', 'bookstore'],
      dtype=object)}"
B,A great singers voice is going to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loud', 'beautiful', 'sound', 'george michael', 'commmunicating'],
      dtype=object)}"
E,What can you do in your house during the winter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ski', 'skate', 'play hockey', 'blaze it', 'knit'], dtype=object)}"
B,What is the purpose of a basketball court?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city', 'use', 'los angeles', 'soccer', 'sports arena'],
      dtype=object)}"
C,"The extrovert didn't mind talking to the stranger, to him it was half the fun to him of taking public transportation to school and waiting at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['town', 'park', 'bus station', 'train station', 'taxi stand'],
      dtype=object)}"
B,Why is it difficult to tell what the weather might do sometimes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clear', 'unpredictable', 'important to farmers', 'hot or cold',
       'mild'], dtype=object)}"
C,"She felt like she never had any support, people always seemed to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['marriage', 'ignore', 'let down', 'aid', 'neglect'], dtype=object)}"
A,What happens when someone trips when going for run?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'sweating', 'get tired', 'flying', 'working out'],
      dtype=object)}"
C,What might lock after someone drives in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mouths', 'doorknob', 'gate', 'entrance', 'front door'],
      dtype=object)}"
E,What type of college do you learn science at?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['space lab', 'a state college', 'school', 'nanotechnology',
       'university'], dtype=object)}"
B,Where could you find a cow that is not real?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nebraska', 'fairy tale', 'advertisement', 'moon',
       'slaughter house'], dtype=object)}"
E,The lizard tried to warm itself by resting where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['porch', 'rocky areas', 'garden', 'shady spot', 'sunny place'],
      dtype=object)}"
C,"If a cottage is above the cloud line, where is it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['village', 'rural area', 'mountains', 'fairy story', 'valley'],
      dtype=object)}"
C,"Sally loved shopping and she hated it.  She loved getting what she wanted, and she never bought to much, but it was still painful for her to buy, because she hated any what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['overspending', 'standing in line', 'loss of money',
       'run out of money', 'new shoes'], dtype=object)}"
D,What leads to someone going to to bed?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bad dreams', 'lazyness', 'get pregnant', 'sleepiness', 'rest'],
      dtype=object)}"
C,"The man was forgiving the person who betrayed him, how is his conscience?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['redemption', 'make amdends', 'feel better', 'make up', 'respect'],
      dtype=object)}"
C,"To prevent unwanted pregnancies, you'd keep the heifers and the bulls in separate what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cattle show', 'houses', 'corral', 'dairy barn', 'countryside'],
      dtype=object)}"
E,"When you're expressing yourself in simple terms, what sort of reaction would be expected?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['creation of art', 'being slapped', 'laughter', 'embarrassment',
       'people will understand'], dtype=object)}"
D,Where can you play a board game with your family?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toy store', 'shelf', 'mall', 'house', 'cupboard'], dtype=object)}"
B,How does a police officer report his work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['charge person with crime', 'case', 'computer', 'direct traffic',
       'retire'], dtype=object)}"
B,"People needed to find a red telephone box in the country side, where are they looking?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restaurant', 'england', 'city on street corner', 'the doctor',
       'london'], dtype=object)}"
C,What does a confident person do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel important', 'own house', 'trust himself', 'know what time',
       'cry'], dtype=object)}"
